"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,117849083E0;-1,132110486E-2;-3,217868954E-3;1,599505842E-2;1,985859989E-2
1,127906083E0;-3,499805247E-3;-3,487992045E-3;2,737023175E-2;2,781266458E-2
1,137963083E0;-1,399083389E-3;-2,143715339E-2;1,704112530E-2;2,742095788E-2
1,148020083E0;-3,687336417E-3;-6,550672241E-3;9,409924150E-3;1,204385441E-2
1,158078083E0;6,723055467E-3;-1,257902367E-2;1,419996321E-2;2,012635751E-2
1,168135083E0;5,726671647E-3;-8,264929689E-3;1,554774642E-2;1,851583781E-2
1,178192083E0;-1,274855638E-2;-8,885209635E-4;1,913793683E-2;2,301251367E-2
1,188249083E0;-5,050651291E-3;-7,519884780E-3;1,345035017E-2;1,621633945E-2
1,198307083E0;-9,630364180E-4;-1,821979607E-2;1,434965193E-2;2,321208561E-2
1,208364083E0;-1,953965882E-3;1,966875438E-3;2,228315413E-2;2,245496693E-2
1,218421083E0;-3,522581980E-4;-1,271051293E-2;1,809128523E-2;2,211279779E-2
1,228479083E0;1,154195602E-2;-1,268388983E-2;9,405831099E-3;1,955933201E-2
1,238536083E0;1,105422514E-2;1,153394351E-2;1,000458598E-2;1,884992008E-2
1,248593083E0;-1,148201292E-3;-3,575535826E-3;4,466688037E-3;5,835591202E-3
1,258650083E0;-1,142682069E-2;4,854285344E-3;2,332512796E-2;2,642343489E-2
1,268708083E0;-1,545464778E-3;1,199446656E-3;9,850804210E-3;1,004318063E-2
1,278765083E0;-2,622905625E-3;-2,126886321E-2;1,509049416E-2;2,621005895E-2
1,288822083E0;8,401681446E-3;-1,599555178E-2;1,089920998E-2;2,110068022E-2
1,298880083E0;5,574132409E-3;7,037580851E-3;7,152898908E-3;1,147878300E-2
1,308937083E0;1,769943042E-3;1,258911012E-2;1,793107152E-2;2,198048493E-2
1,318994083E0;-3,988093436E-3;1,249962945E-2;1,553956032E-2;2,033773735E-2
1,329051083E0;-3,688140409E-3;-6,686821003E-3;1,748609841E-2;1,908086980E-2
1,339109083E0;-9,504164821E-3;-6,891473550E-3;1,793633401E-2;2,143673563E-2
1,349166083E0;4,076642208E-3;-8,993419670E-3;6,111509800E-3;1,161254326E-2
1,359223083E0;3,987481305E-3;-1,800759695E-3;2,332629740E-2;2,373307593E-2
1,369281083E0;-1,612205263E-3;-1,164741604E-2;1,898532450E-2;2,233168271E-2
1,379338083E0;-1,837594413E-2;1,136077456E-3;4,314075708E-3;1,890971295E-2
1,389395083E0;-2,308188379E-3;-1,283653870E-2;1,164999247E-2;1,748790393E-2
